Substation,Final Substation Name
W6903,W6903
56028Y,56028Y
Indian Trail,Indian Trail
Illinois,Illinois
Kensington,Kensington
Baje,Baje
Liberty,Liberty
Washington,Washington
HWY 20,HWY 20
North Cedarville,North Cedarville
Rock City,Rock City
Lena,Lena
Waddams Grove,Waddams Grove
Pearl City,Pearl City
Hwy 25,Hwy 25
Freeport,Freeport
North Free Port,North Free Port
Lowell,Lowell
L6167,L6167
S255,S255
Railroad,Railroad
Main,Main
12th,12th
Leland,Leland
East,East
27th,27th
Grain Bin,Grain Bin
L6162,L6162
Emma Gentert,Emma Gentert
Illinois,Illinois
15th rd,15th rd
1st St,1st St
L12261,L12261
B155,B155
B171,B171
B865,B865
B164,B164
L8831,L8831
B895,B895
Dekalb,Dekalb
E822,E822
B311,B311
E297,E297
B101,B101
E176,E176
E717,E717
L12372,L12372
B961,B961
E5113,E5113
W Park Street,W Park Street
???,???
Hartland,Hartland
South Wonder Lake,South Wonder Lake
Theater,Theater
Ritz,Ritz
Marengo,Marengo
Island Lake,Island Lake
????,????
Huntley,Huntley
Fox River Grove,Fox River Grove
Chicago St,Chicago St
Water Tower,Water Tower
Cary,Cary
Spring Creek Road,Spring Creek Road
L7061,L7061
K395,K395
L14964,L14964
L7062,L7062
K206,K206
K196,K196
K5773,K5773
L7069,L7069
5000S Rd,5000S Rd
Grant Park,Grant Park
Hydro Dam,Hydro Dam
Davis Creek,Davis Creek
R8602,R8602
SW Pecatonica,SW Pecatonica
R9104,R9104
Forest View Rd,Forest View Rd
R6373,R6373
Madison,Madison
Cunningham,Cunningham
18th Ave,18th Ave
15th St,15th St
Charles,Charles
Minook,Minook
Bristol,Bristol
Hooppole,Hooppole
Aux Sable,Aux Sable
17,17
Morris,Morris
South Morris,South Morris
Verona,Verona
Herbert,Herbert
Baileyville,Baileyville
Haldane,Haldane
Leaf River,Leaf River
Davis,Davis
Paris,Paris
Boydston St.,Boydston St.
N 1400th St.,N 1400th St.
N High St.,N High St.
Marshall St.,Marshall St.
1300 E,1300 E
Foundry St.,Foundry St.
Front St.,Front St.
Jackson Ave,Jackson Ave
Cissna Park,Cissna Park
Clifton,Clifton
Beaverville,Beaverville
Chebanse,Chebanse
Watseka,Watseka
Donovan,Donovan
Milford,Milford
Sheldon,Sheldon
Walnut Sreet,Walnut Sreet
Gilman,Gilman
Lovington,Lovington
Illinois Ave,Illinois Ave
Hilvety Road,Hilvety Road
Clarksburg,Clarksburg
Shelbyville,Shelbyville
Neoga,Neoga
S Cedar St,S Cedar St
Civic Circle,Civic Circle
Rushing Drive,Rushing Drive
Carbon Street,Carbon Street
E Boulevard Street,E Boulevard Street
South Maple Street,South Maple Street
Anderson Street,Anderson Street
Miners Drive,Miners Drive
W Oak Street,W Oak Street
Allen Road,Allen Road
E Broadway Boulevard,E Broadway Boulevard
Cherry Street,Cherry Street
Court Street,Court Street
Raceway Road,Raceway Road
Refuge Road,Refuge Road
Stotlar Street,Stotlar Street
Longstreet Road,Longstreet Road
College Street,College Street
Maneese Lane,Maneese Lane
Hecker,Hecker
Mascoutah Route 4,Mascoutah Route 4
Richland Creek,Richland Creek
Carr,Carr
Chester,Chester
Evil,Evil
8th,8th
Breese,Breese
Missouri,Missouri
Empire,Empire
Demazenod,Demazenod
Hickman,Hickman
Donna,Donna
B Street,B Street
66th,66th
Lebanon,Lebanon
7 Hills,7 Hills
Bethel Mine,Bethel Mine
Magna,Magna
Ofallon,Ofallon
W State,W State
Millstadt,Millstadt
Lincoln Trail,Lincoln Trail
57th St,57th St
9th,9th
Ridge,Ridge
HWY 4,HWY 4
59th St,59th St
44th St,44th St
17th St,17th St
North Railroad,North Railroad
Troy,Troy
Frank Scott,Frank Scott
North Main,North Main
Douglas,Douglas
State,State
